run,lab no,        pH       ,om , P ,K ,sand ,   silt    ,clay,texture,from,transplant,var,no,x1,y1,tam,amphoe,prov,soilseries,seriesname,suit,text.code,se.tex
367,683/61,6.18,1.58,53,83,70.7,13.5,15.8,sandy loam,580401-12,ปักดำ (คน),ขาวดอกมะลิ 105,1728,386266,2014100,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
368,684/61,6.6,4.9,38,292,64.9,21.3,13.8,sandy loam,580401-13,ปักดำ (คน),ขาวดอกมะลิ 105,1730,386377,2014820,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
369,875/61,5.09,0.73,4.1406,28,73.3,18.8,7.9,sandy loam,580401-14,ปักดำ (คน),กข21,1733,385396,2013458,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
370,876/61,5.75,1.74,7.0149,209,75,14.9,10.1,sandy loam,580401-15,ปักดำ (คน),กข21,1735,385588,2013610,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
371,689/61,7.02,1.57,13,76,61.9,25.1,13,sandy loam,580401-18,ปักดำ (คน),ขาวดอกมะลิ 105,1738,386114,2013587,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
372,693/61,7.17,2.84,42,56,67.8,19.1,13.1,sandy loam,580401-22,ปักดำ (คน),ขาวดอกมะลิ 105,1744,386089,2014679,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
373,695/61,6.72,2.12,102,131,72.4,15.8,11.8,sandy loam,580401-25,ปักดำ (คน),ขาวดอกมะลิ 105,1746,385749,2013685,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
374,701/61,6.45,2.09,81,104,62.3,21.9,15.8,sandy loam,580401-31,ปักดำ (คน),ขาวดอกมะลิ 105,1754,385641,2012358,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
375,708/61,6.79,2.5056877,96,89,71.8,18,10.2,sandy loam,580401-38,ปักดำ (คน),ขาวดอกมะลิ 105,1761,386058,2013372,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
376,868/61,6.44,0.06,1.3668,32,78.4,8.9,12.7,sandy loam,580401-7,ปักดำ (คน),ขาวดอกมะลิ 105 ,1772,386403,2013191,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
377,680/61,7.25,2.64,90,130,60.8,19.7,19.5,sandy loam,580401-9,ปักดำ (คน),ขาวดอกมะลิ 105,1775,386204,2014332,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
378,870/61,6.33,1.11,4.2009,60,62.1,19.1,18.8,sandy loam,580401-9,ปักดำ (คน),ขาวดอกมะลิ 105 ,1776,385689,2012438,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Hd,หางดง,S3,s.l,Hd.s.l
379,56/61,5,2.31,5,58,75.8,14.1,10.1,sandy loam,520607-4,หว่านน้ำตม,ธัญสิริน,1926,558163,2066057,ต.วิเชตนคร,อ.แจ้ห่ม,จ.ลำปาง,Hd,หางดง,S3,s.l,Hd.s.l
380,883/61,7.45,3.14,21.3261,113,43,24.8,32.2,clay loam,580601-3,ปักดำ (คน),ขาวดอกมะลิ 105 ,1802,385516,1988608,ต.สบเมย,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,N,c.l,Kp.c.l
381,2914,5.66,2.34,11.7656,102,43.2,24.8,32,clay loam,540110-11,ปักดำ (คน),ขาวดอกมะลิ 105,1149,618552,2008138,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
382,2906,6.7,1.51,4.2593,114,37.6,32.8,29.6,clay loam,540110-3,ปักดำ (คน),หอมทอง,1154,618013,2005648,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
383,2876,6.23,2.15,5,99,42,26,32,clay loam,540114-4,หว่านน้ำตม,สันป่าตอง 1,1176,629715,2018491,ต.แม่คำมี,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
384,2859,6.57,2.65,11,116,44.8,28.8,26.4,clay loam,540205-1,ปักดำ (เครื่อง),สันป่าตอง 1,1215,637497,2017459,ต.น้ำเลา,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
385,2860,6.64,3.3,9,66,44.8,28.8,26.4,clay loam,540205-2,ปักดำ (คน),ซิว,1216,637457,2017401,ต.น้ำเลา,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
386,2983,7.21,3.01,42.2688,142,40,28,32,clay loam,540401-4,หว่านน้ำตม,กข14,1259,614475,1996335,ต.สูงเม่น,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
387,2849,6.17,3.23,6,133,39.6,31.6,28.8,clay loam,540603-3,หว่านน้ำตม,สันป่าตอง 1,1393,622292,2020000,ต.น้ำรัด,อ.หนองม่วงไข่,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
388,2807,6.06,2.99,10,88,40.8,29.2,30,clay loam,540802-9,หว่านน้ำตม,สันป่าตอง 1,1531,627226,2019018,ต.แม่คำมี,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,c.l,Kp.c.l
389,1270,5.26,2.48,5,68,42,26,32,clay loam,540304-8,หว่านข้าวแห้ง,สันป่าตอง 1,1245,603171,2020251,ต.เวียงต้า,อ.ลอง,จ.แพร่,Kp,กำแพงเพชร,S2,c.l,Kp.c.l
390,2981,6.45,2.47,13.4436,48,42,30,28,clay loam,540401-1,หว่านน้ำตม,สันป่าตอง 1,1257,614272,1997473,ต.สูงเม่น,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S3,c.l,Kp.c.l
391,1252,7.24,2.48,58,87,46,32,22,loam,540207-1,หว่านน้ำตม,กข10,1220,638558,2026204,ต.ทุ่งศรี,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,N,l,Kp.l
392,1253,7.58,1.91,38,55,52,32,16,loam,540207-2,หว่านน้ำตม,สันป่าตอง 1,1221,638725,2026304,ต.ทุ่งศรี,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,N,l,Kp.l
393,2798,6.36,2.85,48,117,42.8,35.6,21.6,loam,540505-4,หว่านน้ำตม,สันป่าตอง 1,1355,611842,1993010,ต.ปงป่าหวาย,อ.เด่นชัย,จ.แพร่,Kp,กำแพงเพชร,N,l,Kp.l
394,2799,6.71,2.92,5,46,42.8,31.6,25.6,loam,540505-6,หว่านน้ำตม,สันป่าตอง 1,1356,611862,1992930,ต.ปงป่าหวาย,อ.เด่นชัย,จ.แพร่,Kp,กำแพงเพชร,N,l,Kp.l
395,1651/61,5.66,2.67,6,78,48.1,29.5,22.4,loam,S1W26110-2,ปักดำ (เครื่อง),กข10,1569,629007,2015806,ต.แม่หล่าย,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,l,Kp.l
396,1223,5.47,2.34,45,74,52,32,16,loam,540109-3,ปักดำ (เครื่อง),สันป่าตอง 1,1141,629500,2015682,ต.ห้วยม้า,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
397,2908,5.62,1.89,5.6345,95,45.6,28.8,25.6,loam,540110-5,ปักดำ (เครื่อง),สันป่าตอง 1,1156,617448,2007872,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
398,3008,6.26,2.26,149.8828,145,44,30.4,25.6,loam,540406-2,หว่านน้ำตม,กข10,1293,624157,1999236,ต.บ้านกวาง,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
399,2930,7.09,1.51,126.2977,68,50,32.8,17.2,loam,540408-4,หว่านน้ำตม,กข14,1305,613650,1999908,ต.สบสาย,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
400,3022,5.14,1.58,3.57,50,51.2,30.4,18.4,loam,540411-8,ปักดำ (คน),สันป่าตอง 1,1324,615544,2003498,ต.เวียงทอง,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
401,2796,6.57,2.85,37,105,48.8,33.6,17.6,loam,540505-1,หว่านน้ำตม,สันป่าตอง 1,1353,611208,1991909,ต.ปงป่าหวาย,อ.เด่นชัย,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
402,2797,6.68,2.92,132,92,42.8,33.6,23.6,loam,540505-3,หยอดข้าวแห้ง,สันป่าตอง 1,1354,611860,1993324,ต.ปงป่าหวาย,อ.เด่นชัย,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
403,2886,6.3,2.72,15,75,43.2,30.8,26,loam,540602-1,หว่านน้ำตม,สันป่าตอง 1,1374,626291,2044150,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
404,2887,6.3,2.51,22,83,45.2,32.8,22,loam,540602-2,หว่านน้ำตม,สันป่าตอง 1,1378,626197,2044040,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
405,2888,5.74,2.36,11,87,47.2,32.8,20,loam,540602-3,หว่านน้ำตม,กข6,1381,626602,2044184,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
406,2889,7.16,2.79,31,145,45.2,32.8,22,loam,540602-4,หว่านน้ำตม,สันป่าตอง 1,1382,626547,2044161,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
407,2890,5.62,2.44,9,58,45.2,32.8,22,loam,540602-5,หว่านน้ำตม,สันป่าตอง 1,1383,626235,2044066,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
408,2891,6.68,2.51,11,40,47.2,32.8,20,loam,540602-7,หว่านน้ำตม,สันป่าตอง 1,1384,626246,2044039,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
409,2895,6.27,2.87,30,221,46.8,33.2,20,loam,540604-1,หว่านน้ำตม,กข10,1412,626472,2044168,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
410,1286,5.17,2.48,30,146,48,27.6,24.4,loam,540803-1,หว่านข้าวแห้ง,สันป่าตอง 1,1532,622760,2020486,ต.น้ำรัด,อ.หนองม่วงไข่,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
411,2840,5.35,2.87,4,92,44.4,30.4,25.2,loam,540804-5,ปักดำ (เครื่อง),สันป่าตอง 1,1539,622548,2022257,ต.วังหลวง,อ.หนองม่วงไข่,จ.แพร่,Kp,กำแพงเพชร,S1,l,Kp.l
412,2464,4.56,2.36,7,164,46.4,34,19.6,loam,520402-5,ปักดำ (คน),กข6,1892,521544,2001890,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Kp,กำแพงเพชร,S1,l,Kp.l
413,1245,7.49,4.07,60,96,46.4,29.2,24.4,loam,540201-3,หว่านน้ำตม,พันธุ์พื้นเมือง,1208,640854,2028749,ต.ร้องกวาง,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S2,l,Kp.l
414,2861,6.92,2.51,20,114,47.6,30.4,22,loam,540205-3,หว่านน้ำตม,สันป่าตอง 1,1217,636291,2016316,ต.น้ำเลา,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S2,l,Kp.l
415,1268,5.9,2.27,112,191,48,28,24,loam,540304-5,หว่านน้ำตม,พันธุ์พื้นเมือง,1243,603463,2020101,ต.เวียงต้า,อ.ลอง,จ.แพร่,Kp,กำแพงเพชร,S2,l,Kp.l
416,643/61,5.45,1.63,131,243,44.4,38.4,17.2,loam,580602-1,ปักดำ (คน),ขาวดอกมะลิ 105,1809,386200,1993857,ต.แม่คะตวน,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S2,l,Kp.l
417,645/61,6.31,2.52,106,217,48.7,34.8,16.5,loam,580602-3,ปักดำ (คน),ขาวดอกมะลิ 105,1811,386042,1993656,ต.แม่คะตวน,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S2,l,Kp.l
418,2474,4.61,2.58,25,131,46,34,20,loam,520402-15,ปักดำ (คน),กข6,1885,521160,2002031,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Kp,กำแพงเพชร,S2,l,Kp.l
419,2475,4.92,1.57,3,91,48,30,22,loam,520402-16,ปักดำ (คน),กข6,1886,521171,2002124,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Kp,กำแพงเพชร,S2,l,Kp.l
420,2476,4.83,1.72,7,135,50,30,20,loam,520402-17,ปักดำ (คน),กข6,1887,521160,2002031,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Kp,กำแพงเพชร,S2,l,Kp.l
421,2465,4.98,2.36,5,144,40.4,34,25.6,loam,520402-6,ปักดำ (คน),กข6,1893,521160,2002031,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Kp,กำแพงเพชร,S2,l,Kp.l
422,885/61,6.27,1.99,13.668,80,49.1,36.9,14,loam,580601-5,ปักดำ (คน),ขาวดอกมะลิ 105 ,1804,387180,1984492,ต.สบเมย,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,l,Kp.l
423,886/61,7.55,2.77,14.4519,75,48.7,29.2,22.1,loam,580601-6,ปักดำ (คน),ขาวดอกมะลิ 105 ,1805,385783,1988213,ต.สบเมย,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,l,Kp.l
424,648/61,4.82,3.01,61,272,47,28.3,24.7,loam,580602-6,ปักดำ (คน),ขาวดอกมะลิ 105,1814,386419,1996209,ต.แม่คะตวน,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,l,Kp.l
425,649/61,6.3,2.52,102,213,46.9,36.4,16.7,loam,580602-7,ปักดำ (คน),ขาวดอกมะลิ 105,1815,386305,1996229,ต.แม่ยวม,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,l,Kp.l
426,1269,5.6,3.21,14,127,50,26,24,sandy clay loam,540304-6,หว่านข้าวแห้ง,สันป่าตอง 1,1244,603142,2020175,ต.เวียงต้า,อ.ลอง,จ.แพร่,Kp,กำแพงเพชร,N,s.c.l,Kp.s.c.l
427,1362/61,6.25,2.342711637,127,65,50.2,25.3,24.5,sandy clay loam,540602-2,หว่านข้าวแห้ง,พันธุ์พื้นเมือง,1379,626304,2042826,ต.บ้านกลาง,อ.สอง,จ.แพร่,Kp,กำแพงเพชร,N,s.c.l,Kp.s.c.l
428,865/61,4.74,1.76,7.7787,60,54.2,25.1,20.7,sandy clay loam,580401-4,ปักดำ (คน),กข21,1764,384932,2013583,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,N,s.c.l,Kp.s.c.l
429,884/61,4.78,2.83,17.9694,97,55,23.2,21.8,sandy clay loam,580601-4,ปักดำ (คน),ขาวดอกมะลิ 105 ,1803,385482,1988478,ต.สบเมย,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,N,s.c.l,Kp.s.c.l
430,2913,5.8,2.11,8.0602,100,55.2,20.8,24,sandy clay loam,540110-10,ปักดำ (คน),สันป่าตอง 1,1148,618353,2008152,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
431,2915,5.48,1.89,5.5008,129,47.2,26.8,26,sandy clay loam,540110-12,ปักดำ (คน),หอมเมืองเลย,1150,618860,2008666,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
432,2905,5.43,2.49,35.9462,174,56,23.6,20.4,sandy clay loam,540110-2,ปักดำ (คน),หอมทอง,1153,616908,2006491,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
433,2907,5.97,2.49,160.2018,98,53.6,22.8,23.6,sandy clay loam,540110-4,ปักดำ (คน),กข6,1155,617426,2007616,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
434,2909,5.79,2.42,164.0308,106,51.6,24.8,23.6,sandy clay loam,540110-6,ปักดำ (คน),กข10,1157,617423,2008212,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
435,2910,5.84,1.13,4.393,68,49.6,24.8,25.6,sandy clay loam,540110-7,ปักดำ (คน),กข10,1158,617449,2008186,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
436,2911,5.13,1.73,10.1039,120,51.6,24.8,23.6,sandy clay loam,540110-8,ปักดำ (คน),สันป่าตอง 1,1159,617728,2008189,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
437,2912,6.19,1.43,2.9605,73,55.6,22.8,21.6,sandy clay loam,540110-9,ปักดำ (คน),กข10,1160,617753,2007954,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
438,113/61,7.28,3.06,5,34,49.1,25.9,25,sandy clay loam,540112-4,หยอดข้าวแห้ง,สันป่าตอง 1,1168,629129,2005469,ต.สวนเขื่อน,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
439,2873,5.56,1.72,8,99,57.6,22.4,20,sandy clay loam,540114-1,ปักดำ (เครื่อง),สันป่าตอง 1,1172,629217,2018297,ต.แม่คำมี,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
440,2874,5.67,1.72,17,138,51.6,28,20.4,sandy clay loam,540114-2,หว่านน้ำตม,สันป่าตอง 1,1174,629467,2018635,ต.แม่คำมี,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
441,2875,5.89,1.86,10,69,51.6,26,22.4,sandy clay loam,540114-3,ปักดำ (คน),สันป่าตอง 1,1175,629664,2018309,ต.แม่คำมี,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
442,3020,5.19,1.77,2.448,53,55.6,24.4,20,sandy clay loam,540411-5,ปักดำ (คน),กข14,1322,615465,2003429,ต.เวียงทอง,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
443,3021,5.32,1.82,2.9988,83,55.6,24.4,20,sandy clay loam,540411-6,ปักดำ (คน),กข6,1323,615565,2003387,ต.เวียงทอง,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
444,3024,6.22,2.08,11.7096,120,55.2,20.4,24.4,sandy clay loam,540412-5,ปักดำ (คน),กข6,1329,615031,1998828,ต.พระหลวง,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
445,3026,6.39,1.64,14.9328,92,54.8,18.8,26.4,sandy clay loam,540412-7,ปักดำ (คน),ขาวดอกมะลิ 105,1331,615102,1998778,ต.พระหลวง,อ.สูงเม่น,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
446,1287,5.16,2.99,21,151,62,17.6,20.4,sandy clay loam,540803-2,หว่านข้าวแห้ง,กข6,1533,622024,2020592,ต.วังหลวง,อ.หนองม่วงไข่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
447,1628/61,5.45,1.26,11,50,52.8,27.1,20.1,sandy clay loam,S1W26101-3,ปักดำ (คน),สันป่าตอง 1,1546,628565,2017505,ต.แม่คำมี,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
448,1648/61,5.77,1.85,2,94,52.1,27.7,20.2,sandy clay loam,S1W26109-2,ปักดำ (คน),สันป่าตอง 1,1566,617358,2007766,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
449,1649/61,5.77,1.96,2,96,54.2,23.6,22.2,sandy clay loam,S1W26109-3,ปักดำ (คน),สันป่าตอง 1,1567,617358,2007766,ต.ป่าแมต,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,S1,s.c.l,Kp.s.c.l
450,1254,6.03,2.92,10,57,46,24,30,sandy clay loam,540207-3,ปักดำ (คน),สันป่าตอง 1,1222,639024,2026452,ต.ทุ่งศรี,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
451,1266,6.27,2.12,6,82,50,24,26,sandy clay loam,540303-2,หว่านข้าวแห้ง,กข10,1241,600307,2007960,ต.ต้าผามอก,อ.ลอง,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
452,1267,6.37,3.06,10,100,58,22,20,sandy clay loam,540304-4,หว่านข้าวแห้ง,กข10,1242,604306,2020146,ต.เวียงต้า,อ.ลอง,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
453,2952,5.57,2.34,3.4884,60,47.2,21.6,31.2,sandy clay loam,540702-4,โยนกล้า,กข10,1486,544419,1961901,ต.สรอย,อ.วังชิ้น,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
454,1656/61,7.06,2.28,61,80,54.4,23.6,22,sandy clay loam,S2W26102-1,หว่านน้ำตม,สันป่าตอง 1,1574,639389,2027106,ต.ร้องกวาง,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
455,1657/61,7.27,1.75,29,69,56.5,21.5,22,sandy clay loam,S2W26102-2,หว่านน้ำตม,สันป่าตอง 1,1575,639389,2027106,ต.ร้องกวาง,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
456,1658/61,7.33,2.42,56,79,52.3,27.4,20.3,sandy clay loam,S2W26102-3,หว่านน้ำตม,สันป่าตอง 1,1576,639389,2027106,ต.ร้องกวาง,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
457,655/61,5.38,3.28,8,134,60.9,17.1,22,sandy clay loam,580103-11,ปักดำ (คน),กข21,1609,387026,2048548,ต.แม่ลาหลวง,อ.แม่ลาน้อย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
458,657/61,6.21,3.88,32,127,51,26.8,22.2,sandy clay loam,580103-13,ปักดำ (คน),กข21,1611,386682,2048206,ต.แม่ลาหลวง,อ.แม่ลาน้อย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
459,706/61,6.38,2.56,96,301,59.7,20.1,20.2,sandy clay loam,580401-36,ปักดำ (คน),ขาวดอกมะลิ 105,1759,386200,2012926,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
460,2467,4.49,1.72,10,119,56.4,23.6,20,sandy clay loam,520402-8,ปักดำ (คน),กข31,1895,521160,2002031,ต.เสริมขวา,อ.เสริมงาม,จ.ลำปาง,Kp,กำแพงเพชร,S2,s.c.l,Kp.s.c.l
461,832/61,6.23,2.46,40,191,52.4,25.6,22,sandy clay loam,580303-1,ปักดำ (คน),กข21,1671,438961,2145819,ต.แม่นาเติง,อ.ปาย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,s.c.l,Kp.s.c.l
462,692/61,6.98,2.68,127,183,51.9,25,23.1,sandy clay loam,580401-21,ปักดำ (คน),ขาวดอกมะลิ 105,1743,385168,2012796,ต.บ้านกาศ,อ.แม่สะเรียง,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,s.c.l,Kp.s.c.l
463,887/61,5.51,2.33,13.5072,79,50.8,25.1,24.1,sandy clay loam,580601-7,ปักดำ (คน),ขาวดอกมะลิ 105 ,1806,386541,1985347,ต.สบเมย,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,s.c.l,Kp.s.c.l
464,888/61,5.38,2.32,12.3012,74,56.2,23.6,20.2,sandy clay loam,580601-8,ปักดำ (คน),กข21,1807,386706,1985690,ต.สบเมย,อ.สบเมย,จ.แม่ฮ่องสอน,Kp,กำแพงเพชร,S3,s.c.l,Kp.s.c.l
465,1221,5.06,1.98,46,58,64,26,10,sandy loam,540109-1,ปักดำ (เครื่อง),กข10,1139,629004,2015813,ต.แม่หล่าย,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
466,1224,5.51,2.2,25,49,54,32,14,sandy loam,540109-4,หว่านน้ำตม,สันป่าตอง 1,1142,629078,2015810,ต.แม่หล่าย,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
467,1225,6.51,2.7,124,113,58,28,14,sandy loam,540109-5,หว่านน้ำตม,สันป่าตอง 1,1143,629585,2015793,ต.ห้วยม้า,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
468,1234,4.88,1.69,4,57,60.4,23.6,16,sandy loam,540113-3,ปักดำ (คน),กข14,1170,621356,2018272,ต.วังหงษ์,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
469,1235,4.8,1.69,5,44,60.4,25.6,14,sandy loam,540113-5,หว่านข้าวแห้ง,ขาวดอกมะลิ 105,1171,621406,2018263,ต.วังหงษ์,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
470,2835,6.13,2.56,13,107,52.8,30,17.2,sandy loam,540116-6,ปักดำ (คน),หอมเมืองเลย,1186,620555,2016276,ต.ท่าข้าม,อ.เมืองแพร่,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
471,2863,6.06,3.87,14,123,59.6,24.4,16,sandy loam,540206-2,หว่านน้ำตม,สันป่าตอง 1,1219,636983,2013727,ต.บ้านเวียง,อ.ร้องกวาง,จ.แพร่,Kp,กำแพงเพชร,N,s.l,Kp.s.l
